"n","m","periods","tau_w","tau_b","betaA"
30,40,3,0.05,0.01,0.45
30,50,3,0.05,0.01,0.45
30,25,3,0.05,0.01,0.5
20,40,3,0.05,0.01,0.55
20,50,3,0.05,0.01,0.55
30,15,3,0.05,0.01,0.55
20,25,3,0.05,0.01,0.6
20,40,3,0.05,0.01,0.6
30,15,3,0.05,0.01,0.6
14,40,3,0.05,0.01,0.65
14,50,3,0.05,0.01,0.65
20,15,3,0.05,0.01,0.65
20,25,3,0.05,0.01,0.65
14,25,3,0.05,0.01,0.7
14,40,3,0.05,0.01,0.7
14,50,3,0.05,0.01,0.7
20,15,3,0.05,0.01,0.7
30,40,4,0.05,0.01,0.35
30,50,4,0.05,0.01,0.35
21,40,4,0.05,0.01,0.4
21,50,4,0.05,0.01,0.4
30,15,4,0.05,0.01,0.4
30,25,4,0.05,0.01,0.4
21,25,4,0.05,0.01,0.45
21,40,4,0.05,0.01,0.45
30,15,4,0.05,0.01,0.45
15,40,4,0.05,0.01,0.5
15,50,4,0.05,0.01,0.5
21,15,4,0.05,0.01,0.5
15,25,4,0.05,0.01,0.55
15,15,4,0.05,0.01,0.6
9,40,4,0.05,0.01,0.65
9,50,4,0.05,0.01,0.65
15,15,4,0.05,0.01,0.65
9,25,4,0.05,0.01,0.7
9,40,4,0.05,0.01,0.7
9,50,4,0.05,0.01,0.7
28,40,5,0.05,0.01,0.3
28,50,5,0.05,0.01,0.3
20,40,5,0.05,0.01,0.35
20,50,5,0.05,0.01,0.35
28,15,5,0.05,0.01,0.35
28,25,5,0.05,0.01,0.35
16,40,5,0.05,0.01,0.4
16,50,5,0.05,0.01,0.4
20,25,5,0.05,0.01,0.4
20,40,5,0.05,0.01,0.4
28,15,5,0.05,0.01,0.4
16,25,5,0.05,0.01,0.45
16,40,5,0.05,0.01,0.45
20,15,5,0.05,0.01,0.45
16,15,5,0.05,0.01,0.5
8,40,5,0.05,0.01,0.6
8,50,5,0.05,0.01,0.6
8,25,5,0.05,0.01,0.65
8,40,5,0.05,0.01,0.65
8,50,5,0.05,0.01,0.65
8,25,5,0.05,0.01,0.7
30,40,6,0.05,0.01,0.25
30,50,6,0.05,0.01,0.25
30,15,6,0.05,0.01,0.3
30,25,6,0.05,0.01,0.3
20,25,6,0.05,0.01,0.35
20,40,6,0.05,0.01,0.35
20,50,6,0.05,0.01,0.35
15,25,6,0.05,0.01,0.4
15,40,6,0.05,0.01,0.4
15,50,6,0.05,0.01,0.4
20,15,6,0.05,0.01,0.4
10,50,6,0.05,0.01,0.45
15,15,6,0.05,0.01,0.45
15,25,6,0.05,0.01,0.45
10,25,6,0.05,0.01,0.5
10,40,6,0.05,0.01,0.5
10,50,6,0.05,0.01,0.5
10,15,6,0.05,0.01,0.55
10,25,6,0.05,0.01,0.55
10,15,6,0.05,0.01,0.6
30,40,3,0.1,0.01,0.55
30,50,3,0.1,0.01,0.55
30,25,3,0.1,0.01,0.6
30,40,3,0.1,0.01,0.6
30,50,3,0.1,0.01,0.6
30,15,3,0.1,0.01,0.65
30,25,3,0.1,0.01,0.65
20,40,3,0.1,0.01,0.7
20,50,3,0.1,0.01,0.7
30,15,3,0.1,0.01,0.7
30,25,4,0.1,0.01,0.45
30,40,4,0.1,0.01,0.45
30,50,4,0.1,0.01,0.45
21,40,4,0.1,0.01,0.5
21,50,4,0.1,0.01,0.5
30,15,4,0.1,0.01,0.5
21,25,4,0.1,0.01,0.55
21,40,4,0.1,0.01,0.55
21,50,4,0.1,0.01,0.55
15,40,4,0.1,0.01,0.6
15,50,4,0.1,0.01,0.6
21,15,4,0.1,0.01,0.6
21,25,4,0.1,0.01,0.6
15,25,4,0.1,0.01,0.65
15,40,4,0.1,0.01,0.65
15,50,4,0.1,0.01,0.65
15,15,4,0.1,0.01,0.7
15,25,4,0.1,0.01,0.7
28,25,5,0.1,0.01,0.4
28,40,5,0.1,0.01,0.4
28,50,5,0.1,0.01,0.4
20,25,5,0.1,0.01,0.45
20,40,5,0.1,0.01,0.45
20,50,5,0.1,0.01,0.45
28,15,5,0.1,0.01,0.45
16,40,5,0.1,0.01,0.5
16,50,5,0.1,0.01,0.5
20,15,5,0.1,0.01,0.5
20,25,5,0.1,0.01,0.5
20,40,5,0.1,0.01,0.5
16,15,5,0.1,0.01,0.55
16,25,5,0.1,0.01,0.55
16,40,5,0.1,0.01,0.55
16,50,5,0.1,0.01,0.55
20,15,5,0.1,0.01,0.55
16,15,5,0.1,0.01,0.6
30,15,6,0.1,0.01,0.35
30,25,6,0.1,0.01,0.35
30,40,6,0.1,0.01,0.35
30,50,6,0.1,0.01,0.35
20,25,6,0.1,0.01,0.4
20,40,6,0.1,0.01,0.4
20,50,6,0.1,0.01,0.4
30,15,6,0.1,0.01,0.4
15,40,6,0.1,0.01,0.45
15,50,6,0.1,0.01,0.45
20,15,6,0.1,0.01,0.45
20,25,6,0.1,0.01,0.45
15,15,6,0.1,0.01,0.5
15,25,6,0.1,0.01,0.5
15,40,6,0.1,0.01,0.5
15,50,6,0.1,0.01,0.5
15,15,6,0.1,0.01,0.55
10,25,6,0.1,0.01,0.6
10,40,6,0.1,0.01,0.6
10,50,6,0.1,0.01,0.6
10,15,6,0.1,0.01,0.65
10,25,6,0.1,0.01,0.65
10,40,6,0.1,0.01,0.65
10,15,6,0.1,0.01,0.7
30,40,3,0.1,0.05,0.55
30,50,3,0.1,0.05,0.55
30,25,3,0.1,0.05,0.6
30,40,3,0.1,0.05,0.6
30,50,3,0.1,0.05,0.6
30,15,3,0.1,0.05,0.65
30,25,3,0.1,0.05,0.65
20,40,3,0.1,0.05,0.7
20,50,3,0.1,0.05,0.7
30,15,3,0.1,0.05,0.7
30,40,4,0.1,0.05,0.45
30,50,4,0.1,0.05,0.45
30,15,4,0.1,0.05,0.5
30,25,4,0.1,0.05,0.5
30,40,4,0.1,0.05,0.5
30,50,4,0.1,0.05,0.5
21,40,4,0.1,0.05,0.55
21,50,4,0.1,0.05,0.55
30,15,4,0.1,0.05,0.55
21,15,4,0.1,0.05,0.6
21,25,4,0.1,0.05,0.6
21,40,4,0.1,0.05,0.6
21,50,4,0.1,0.05,0.6
15,40,4,0.1,0.05,0.65
15,50,4,0.1,0.05,0.65
21,15,4,0.1,0.05,0.65
15,25,4,0.1,0.05,0.7
15,40,4,0.1,0.05,0.7
15,50,4,0.1,0.05,0.7
28,15,5,0.1,0.05,0.45
28,25,5,0.1,0.05,0.45
28,40,5,0.1,0.05,0.45
28,50,5,0.1,0.05,0.45
20,40,5,0.1,0.05,0.5
20,50,5,0.1,0.05,0.5
28,15,5,0.1,0.05,0.5
16,50,5,0.1,0.05,0.55
20,15,5,0.1,0.05,0.55
20,25,5,0.1,0.05,0.55
20,40,5,0.1,0.05,0.55
20,50,5,0.1,0.05,0.55
16,25,5,0.1,0.05,0.6
16,40,5,0.1,0.05,0.6
16,50,5,0.1,0.05,0.6
20,15,5,0.1,0.05,0.6
16,15,5,0.1,0.05,0.65
16,25,5,0.1,0.05,0.65
16,15,5,0.1,0.05,0.7
30,15,6,0.1,0.05,0.4
30,25,6,0.1,0.05,0.4
30,40,6,0.1,0.05,0.4
30,50,6,0.1,0.05,0.4
30,15,6,0.1,0.05,0.45
20,15,6,0.1,0.05,0.5
20,25,6,0.1,0.05,0.5
20,40,6,0.1,0.05,0.5
20,50,6,0.1,0.05,0.5
15,25,6,0.1,0.05,0.55
15,40,6,0.1,0.05,0.55
15,50,6,0.1,0.05,0.55
20,15,6,0.1,0.05,0.55
