"n","m","periods","tau_w","tau_b","beta0"
30,40,3,0.05,0.01,0
30,50,3,0.05,0.01,0
30,25,3,0.05,0.01,0
20,40,3,0.05,0.01,0
20,50,3,0.05,0.01,0
30,15,3,0.05,0.01,0
20,25,3,0.05,0.01,0
20,40,3,0.05,0.01,0
30,15,3,0.05,0.01,0
14,40,3,0.05,0.01,0
14,50,3,0.05,0.01,0
20,15,3,0.05,0.01,0
20,25,3,0.05,0.01,0
14,25,3,0.05,0.01,0
14,40,3,0.05,0.01,0
14,50,3,0.05,0.01,0
20,15,3,0.05,0.01,0
30,40,4,0.05,0.01,0
30,50,4,0.05,0.01,0
21,40,4,0.05,0.01,0
21,50,4,0.05,0.01,0
30,15,4,0.05,0.01,0
30,25,4,0.05,0.01,0
21,25,4,0.05,0.01,0
21,40,4,0.05,0.01,0
30,15,4,0.05,0.01,0
15,40,4,0.05,0.01,0
15,50,4,0.05,0.01,0
21,15,4,0.05,0.01,0
15,25,4,0.05,0.01,0
15,15,4,0.05,0.01,0
9,40,4,0.05,0.01,0
9,50,4,0.05,0.01,0
15,15,4,0.05,0.01,0
9,25,4,0.05,0.01,0
9,40,4,0.05,0.01,0
9,50,4,0.05,0.01,0
28,40,5,0.05,0.01,0
28,50,5,0.05,0.01,0
20,40,5,0.05,0.01,0
20,50,5,0.05,0.01,0
28,15,5,0.05,0.01,0
28,25,5,0.05,0.01,0
16,40,5,0.05,0.01,0
16,50,5,0.05,0.01,0
20,25,5,0.05,0.01,0
20,40,5,0.05,0.01,0
28,15,5,0.05,0.01,0
16,25,5,0.05,0.01,0
16,40,5,0.05,0.01,0
20,15,5,0.05,0.01,0
16,15,5,0.05,0.01,0
8,40,5,0.05,0.01,0
8,50,5,0.05,0.01,0
8,25,5,0.05,0.01,0
8,40,5,0.05,0.01,0
8,50,5,0.05,0.01,0
8,25,5,0.05,0.01,0
30,40,6,0.05,0.01,0
30,50,6,0.05,0.01,0
30,15,6,0.05,0.01,0
30,25,6,0.05,0.01,0
20,25,6,0.05,0.01,0
20,40,6,0.05,0.01,0
20,50,6,0.05,0.01,0
15,25,6,0.05,0.01,0
15,40,6,0.05,0.01,0
15,50,6,0.05,0.01,0
20,15,6,0.05,0.01,0
10,50,6,0.05,0.01,0
15,15,6,0.05,0.01,0
15,25,6,0.05,0.01,0
10,25,6,0.05,0.01,0
10,40,6,0.05,0.01,0
10,50,6,0.05,0.01,0
10,15,6,0.05,0.01,0
10,25,6,0.05,0.01,0
10,15,6,0.05,0.01,0
30,40,3,0.1,0.01,0
30,50,3,0.1,0.01,0
30,25,3,0.1,0.01,0
30,40,3,0.1,0.01,0
30,50,3,0.1,0.01,0
